Designator,Manufacturer Part Number,Octopart Url,Comment,Footprint,JLCPCB Part #,LibRef

"-","AMT0440005TH0000G","https://octopart.com/part/amphenol-anytek/AMT0440005TH0000G","Amphenol Anytek AMT0440005TH0000G","Amphenol Anytek AMT0440005TH0000G-Footprint-1","C26826752","CMP-145325152-4"
"+","AMT0440005TH0000G","https://octopart.com/part/amphenol-anytek/AMT0440005TH0000G","Amphenol Anytek AMT0440005TH0000G","Amphenol Anytek AMT0440005TH0000G-Footprint-1","C26826752","CMP-145325152-4"
"3V3","SML-D12M1WT86","https://octopart.com/part/rohm/SML-D12M1WT86","Rohm SML-D12M1WT86","Rohm SML-D12M1WT86-Footprint-1","C2922668","CMP-ea2527172c3b35e2-4"
"5V","SML-D12M1WT86","https://octopart.com/part/rohm/SML-D12M1WT86","Rohm SML-D12M1WT86","Rohm SML-D12M1WT86-Footprint-1","C2922668","CMP-ea2527172c3b35e2-4"
"5V5","SML-D12M1WT86","https://octopart.com/part/rohm/SML-D12M1WT86","Rohm SML-D12M1WT86","Rohm SML-D12M1WT86-Footprint-1","C2922668","CMP-ea2527172c3b35e2-4"
"15V","SML-D12M1WT86","https://octopart.com/part/rohm/SML-D12M1WT86","Rohm SML-D12M1WT86","Rohm SML-D12M1WT86-Footprint-1","C2922668","CMP-ea2527172c3b35e2-4"
"BOOT0","EVP-BB2A9B000","https://octopart.com/part/panasonic/EVP-BB2A9B000","Panasonic EVP-BB2A9B000","Panasonic EVP-BB2A9B000-Footprint-1","C4365176","CMP-57ca9abfc056880d-11"
"C1$ChannelName","CGA3E2C0G2A122JT0Y0N","https://octopart.com/part/tdk/CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N-Footprint-1","C342931","CMP-24620391-1"
"C2$ChannelName","CGA3E2C0G2A122JT0Y0N","https://octopart.com/part/tdk/CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N-Footprint-1","C342931","CMP-24620391-1"
"C3$ChannelName","CGA3E2C0G2A122JT0Y0N","https://octopart.com/part/tdk/CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N-Footprint-1","C342931","CMP-24620391-1"
"C4$ChannelName","CGA3E2C0G2A122JT0Y0N","https://octopart.com/part/tdk/CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N-Footprint-1","C342931","CMP-24620391-1"
"C5$ChannelName","CGA3E2C0G2A122JT0Y0N","https://octopart.com/part/tdk/CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N","TDK CGA3E2C0G2A122JT0Y0N-Footprint-1","C342931","CMP-24620391-1"
"C6","CC1210JKNPOBBN102","https://octopart.com/part/yageo-group/CC1210JKNPOBBN102","Yageo Group CC1210JKNPOBBN102","Yageo Group CC1210JKNPOBBN102-Footprint-1","C3893829","CMP-23515824-1"
"C6$ChannelName","CL10A106MA8NRNC","https://octopart.com/part/samsung-electro-mechanics/CL10A106MA8NRNC","Samsung CL10A106MA8NRNC","Samsung CL10A106MA8NRNC-Footprint-1","C96446","CMP-49518127bf8c9696-9"
"C7$ChannelName","GRM1885C1H392JA01D","https://octopart.com/part/murata/GRM1885C1H392JA01D","Murata GRM1885C1H392JA01D","Murata GRM1885C1H392JA01D-Footprint-1","C415537","CMP-135294-16"
