ntc,in5,in10,in11,U,V,W,dcbus,pe15
39968,977,20390,14816,1354,-8077,440,20364,0
39983,983,20390,14828,1369,-8141,442,20373,0
39963,987,20404,14813,1404,-8192,464,20376,0
39968,975,20406,14816,1449,-8060,312,20370,0
39958,972,20408,14836,1449,-8102,470,20371,0
39972,980,20403,14829,1315,-8104,436,20366,0
39959,979,20382,14818,1324,-7976,304,20351,0
39972,982,20427,14826,1387,-8143,513,20424,0
39969,986,20436,14826,1354,-8130,360,20395,0
39969,977,20424,14823,1425,-8152,417,20397,0
39958,978,20420,14825,1397,-8142,378,20417,0
39969,986,20432,14815,1452,-8156,426,20420,0
39962,970,20441,14833,1368,-8158,511,20399,0
39983,980,20420,14821,1377,-8108,407,20402,0
39964,987,20411,14823,1474,-8084,440,20352,0
39950,976,20433,14824,1400,-8165,472,20319,0
39966,983,20435,14815,1273,-8080,384,20397,0
39964,982,20438,14828,1443,-8144,471,20419,0
39968,984,20499,14824,1453,-8008,408,20475,0
39973,985,20521,14835,1381,-8014,458,20464,0
39969,981,20498,14825,1348,-8108,320,20459,0
39951,975,20455,14823,1314,-8148,349,20566,0
39950,980,20612,14822,1420,-8070,330,20649,0
39944,980,20620,14814,1480,-8063,366,20635,0
39936,980,20631,14818,1389,-8112,468,20620,0
39965,985,20643,14832,1389,-8060,468,20619,0
39955,973,20645,14821,1476,-8081,408,20635,0
39966,980,20656,14813,1433,-8041,379,20615,0
39961,980,20647,14815,1479,-8184,433,20625,0
39970,982,20638,14812,1332,-8107,312,20607,0
39978,972,20654,14821,1304,-8059,420,20545,0
39997,984,20583,14832,1410,-8112,540,20447,0
39986,977,20525,14820,1428,-8108,432,20403,0
39992,979,20445,14820,1328,-8162,384,20598,0
39988,981,20609,14816,1448,-8074,304,20633,0
40017,996,20482,14821,1414,-8192,433,20623,0
39996,981,20670,14802,1273,-8168,440,20609,0
40000,979,20649,14805,1402,-8067,324,20579,0
40006,986,20642,14811,1400,-8118,409,20557,0
39940,978,20560,14783,1380,-8137,493,20439,0
39936,986,20643,14778,1373,-8088,306,20606,0
39936,975,20620,14779,1421,-8102,465,20536,0
39936,980,20668,14771,1360,-8063,344,20670,0
39993,979,20704,14784,1425,-8123,398,20529,0
39830,973,20619,14778,1424,-8071,466,20561,0
39813,988,20543,14768,1407,-8079,397,20512,0
39800,978,20574,14756,1383,-8116,460,20478,0
39827,976,20307,14758,1410,-8192,396,20405,0
39849,986,20600,14768,1379,-8192,455,20342,0
39848,985,20264,14745,1344,-8086,409,20557,0
39936,990,20417,14756,1447,-8048,418,20395,0
39936,969,20537,14750,1472,-8192,413,20556,0
39936,981,20389,14747,1391,-8039,485,20249,0
39936,976,20381,14759,1410,-8084,457,20512,0
39936,983,20496,14769,1578,-8070,340,20572,0
39936,977,20619,14766,1460,-8058,467,20563,0
39936,978,20594,14760,1388,-8025,378,20578,0
39936,987,20606,14770,1416,-8059,393,20572,0
39936,981,20602,14769,1384,-8084,449,20580,0
39936,980,20599,14760,1318,-8152,294,20598,0
