ntc,in5,in10,in11,U,V,W,dcbus,pe15
39724,978,20420,14443,1376,-8192,511,20376,0
39746,979,20424,14440,1396,-8188,404,20383,0
39765,969,20436,14437,1426,-8154,505,20393,0
39765,982,20444,14449,1492,-8170,320,20410,0
39772,971,20418,14430,1409,-8161,388,20390,0
39748,982,20423,14428,1454,-8149,441,20403,0
39765,981,20436,14418,1375,-8106,476,20410,0
39763,979,20444,14428,1459,-8164,416,20418,0
39800,988,20457,14439,1473,-8068,410,20437,0
39768,988,20439,14427,1366,-8156,502,20395,0
39794,978,20454,14440,1431,-8184,401,20404,0
39785,976,20459,14436,1408,-8192,440,20398,0
39778,971,20431,14436,1382,-8138,329,20409,0
39777,984,20448,14435,1430,-8095,587,20419,0
39789,984,20456,14429,1445,-8177,501,20410,0
39766,977,20457,14432,1458,-8166,362,20412,0
39786,980,20447,14429,1456,-8192,437,20424,0
39791,965,20464,14431,1500,-8119,450,20419,0
39780,975,20450,14431,1389,-8012,388,20427,0
39804,983,20467,14441,1453,-8103,452,20438,0
39796,983,20456,14433,1472,-8192,297,20424,0
39804,972,20449,14434,1394,-8141,430,20431,0
39797,981,20451,14436,1481,-8191,431,20415,0
39803,983,20461,14440,1380,-8192,356,20438,0
39814,980,20472,14445,1408,-8176,374,20428,0
39798,983,20451,14449,1453,-8145,384,20426,0
39808,971,20455,14444,1381,-8128,421,20436,0
39816,980,20453,14448,1417,-8193,477,20415,0
39831,978,20466,14440,1520,-8080,346,20411,0
39848,978,20471,14448,1486,-8064,473,20433,0
39836,984,20455,14442,1450,-8081,506,20430,0
39832,978,20458,14444,1324,-8192,333,20423,0
39838,979,20453,14440,1389,-8073,460,20416,0
39842,971,20473,14451,1426,-8110,454,20430,0
39936,977,20484,14451,1419,-8183,444,20434,0
39936,979,20463,14446,1463,-8157,500,20442,0
39936,980,20478,14444,1441,-8086,288,20444,0
39936,979,20455,14452,1349,-8192,465,20416,0
39936,983,20471,14455,1429,-8170,374,20419,0
39936,978,20459,14449,1460,-8128,380,20438,0
39936,971,20465,14459,1365,-8102,360,20438,0
39936,982,20461,14456,1398,-8014,432,20438,0
39936,970,20470,14465,1372,-8094,324,20420,0
39936,988,20476,14461,1419,-8147,408,20429,0
39936,977,20488,14456,1407,-8174,410,20438,0
39936,970,20476,14467,1428,-8145,384,20423,0
39936,984,20464,14468,1425,-8181,346,20434,0
39936,972,20462,14472,1482,-8158,406,20437,0
39936,982,20471,14470,1435,-7998,425,20417,0
39936,986,20473,14474,1378,-8114,434,20424,0
39936,979,20459,14476,1496,-8149,351,20415,0
39936,977,20461,14471,1368,-8116,448,20441,0
39936,976,20467,14472,1552,-8064,449,20440,0
39936,976,20484,14485,1446,-8080,490,20433,0
39936,978,20467,14479,1408,-8119,450,20432,0
39936,989,20465,14485,1484,-8046,343,20446,0
39936,983,20472,14483,1389,-7999,429,20423,0
39936,977,20480,14486,1491,-8192,450,20464,0
39936,963,20473,14486,1408,-8192,402,20443,0
39936,980,20462,14490,1341,-8137,411,20429,0
