t_ms,U,V,W,DCbus
289,982,-8450,-89,20869
1289,908,-8445,-92,20872
2288,781,-8378,-28,20873
3289,900,-8480,-70,20884
4289,889,-8504,-62,20861
5289,904,-8602,-55,20879
6289,981,-8414,-70,20884
7290,872,-8531,-95,20876
8289,889,-8502,-50,20871
9290,917,-8515,-142,20871
10289,932,-8419,-131,20884
11289,909,-8533,-151,20865
12288,914,-8424,-1,20876
13288,916,-8496,-1,20869
14289,915,-8449,-71,20870
15289,896,-8490,-1,20882
16289,892,-8462,-35,20868
17289,938,-8495,-150,20880
18289,909,-8469,-46,20872
19289,939,-8543,-55,20874
20289,945,-8455,-26,20880
21289,890,-8505,-97,20872
22289,923,-8493,-22,20884
23289,944,-8570,-89,20870
24289,876,-8536,-1,20873
25288,804,-8465,-15,20880
26289,768,-8470,-27,20867
27288,842,-8442,-68,20879
28289,912,-8454,-1,20867
29289,902,-8454,-55,20889
30289,938,-8393,-42,20871
31289,1012,-8431,-47,20868
32289,974,-8439,-69,20865
33288,984,-8462,-1,20867
34288,915,-8472,-47,20889
35289,809,-8557,-39,20873
36289,865,-8407,-73,20878
37288,860,-8570,-138,20872
38288,852,-8513,-1,20871
39289,848,-8510,-95,20884
40289,937,-8505,-147,20878
41289,901,-8476,-42,20881
42289,924,-8482,-92,20880
43289,859,-8555,-39,20871
44289,980,-8482,-31,20862
45289,864,-8549,-40,20874
46289,902,-8384,-4,20887
47287,843,-8523,-25,20866
48288,923,-8436,-76,20868
49288,842,-8443,-54,20872
50288,913,-8538,-18,20872
51288,1046,-8534,-145,20873
52288,955,-8572,-109,20876
53288,823,-8504,-110,20876
54288,825,-8490,-123,20872
55288,816,-8432,-17,20872
56289,887,-8508,-107,20895
57288,917,-8438,-14,20878
58288,921,-8522,-70,20878
59288,942,-8403,-19,20867
60288,916,-8420,-28,20880
61288,945,-8482,-51,20872
62289,842,-8557,-95,20875
63288,967,-8507,-50,20888
64288,854,-8444,-163,20868
65288,914,-8526,-39,20870
66288,972,-8597,-1,20872
67288,834,-8515,-84,20874
68288,967,-8428,-42,20873
69288,881,-8497,-175,20866
70288,945,-8529,-29,20867
71287,754,-8444,-85,20868
72288,928,-8514,-88,20886
73288,800,-8475,-75,20878
74288,804,-8514,-161,20872
75288,944,-8577,-4,20865
76288,916,-8403,-39,20871
77288,885,-8455,6,20892
78288,915,-8439,-140,20875
79288,871,-8463,-152,20868
80287,876,-8535,-1,20880
81287,896,-8492,-52,20867
82288,926,-8496,-113,20876
83288,965,-8470,-103,20876
84287,942,-8645,-99,20883
85288,977,-8446,-1,20868
86287,960,-8536,8,20868
87288,904,-8556,-95,20871
88287,782,-8359,-1,20880
89288,934,-8518,-147,20868
90288,906,-8410,-28,20866
91288,829,-8438,-51,20877
92287,933,-8501,-76,20865
93287,867,-8551,-33,20886
94287,872,-8474,-58,20871
95287,813,-8488,-1,20863
96288,1000,-8492,-44,20880
97288,1036,-8528,-38,20866
98287,936,-8516,-84,20879
99287,830,-8532,-35,20871
100288,890,-8505,-45,20871
101287,942,-8475,-7,20871
102287,985,-8469,-1,20865
103287,885,-8499,-84,20875
104287,989,-8568,-111,20878
105287,914,-8393,-46,20873
106287,836,-8463,-43,20869
107287,809,-8568,-1,20867
108287,819,-8539,-120,20874
109287,961,-8526,-61,20879
110287,886,-8476,-24,20865
111288,772,-8462,-6,20868
112287,850,-8535,-173,20872
113287,921,-8530,-135,20878
114287,876,-8508,-23,20875
115287,861,-8449,-1,20884
116287,975,-8458,-56,20870
117287,1017,-8474,-107,20868
118287,858,-8476,-208,20872
119287,815,-8474,-133,20877
120287,962,-8561,-108,20876
121287,838,-8521,-118,20871
122287,746,-8470,-37,20867
123287,975,-8582,-47,20865
124287,756,-8541,-18,20873
125287,984,-8485,-106,20874
126287,967,-8508,-89,20886
127287,817,-8488,-36,20867
128287,898,-8515,-123,20870
129287,941,-8493,-42,20872
130287,869,-8460,-56,20877
131287,808,-8493,-151,20888
132287,924,-8407,-63,20870
133287,920,-8501,-14,20882
134287,788,-8425,59,20865
135287,881,-8421,-110,20871
136287,902,-8486,-97,20888
137287,860,-8395,-1,20880
138286,908,-8497,-1,20883
139287,906,-8474,-135,20869
140287,929,-8427,-143,20881
