t_ms,U,V,W,DCbus
130,1440,-8340,540,20670
1130,1497,-8226,530,20664
2130,1488,-8293,544,20655
3129,1526,-8195,510,20665
4130,1442,-8309,558,20654
5130,1325,-8300,537,20669
6130,1509,-8201,534,20672
7130,1453,-8296,511,20660
8129,1461,-8249,545,20669
9129,1452,-8237,518,20667
10130,1419,-8300,629,20663
11130,1491,-8321,496,20670
12129,1412,-8222,536,20679
13129,1409,-8196,522,20676
14129,1449,-8223,604,20669
15130,1407,-8214,453,20663
16130,1520,-8193,580,20666
17129,1552,-8218,634,20670
18129,1491,-8270,475,20672
19129,1472,-8361,566,20660
20130,1419,-8338,530,20676
21129,1381,-8221,530,20673
22130,1456,-8192,600,20664
23130,1553,-8267,587,20679
24129,1505,-8193,456,20672
25129,1433,-8204,563,20666
26130,1430,-8192,556,20661
27130,1565,-8363,524,20668
28130,1396,-8253,540,20668
29129,1414,-8192,464,20656
30129,1489,-8335,596,20660
31129,1532,-8281,427,20662
32130,1486,-8192,514,20675
33129,1389,-8294,529,20670
34130,1512,-8226,531,20672
35129,1544,-8146,512,20653
36129,1475,-8361,524,20680
37129,1560,-8224,446,20665
38129,1427,-8222,556,20670
39129,1380,-8225,501,20669
40129,1458,-8193,438,20664
41129,1478,-8268,564,20664
42129,1377,-8250,511,20664
43129,1384,-8335,520,20679
44129,1402,-8192,572,20657
45129,1403,-8233,477,20671
46129,1453,-8192,402,20668
47129,1525,-8192,556,20671
48129,1462,-8257,474,20666
49131,1381,-8206,554,20668
50129,1449,-8169,481,20664
51128,1385,-8275,437,20655
52129,1482,-8192,473,20663
53129,1536,-8274,534,20670
54129,1394,-8193,505,20660
55129,1486,-8223,521,20658
56129,1457,-8192,501,20655
57129,1461,-8193,624,20660
58129,1442,-8259,437,20651
59129,1392,-8262,511,20663
60129,1434,-8215,562,20679
61129,1382,-8193,476,20657
62129,1450,-8199,530,20679
63129,1408,-8278,529,20662
64129,1509,-8192,532,20656
65128,1479,-8193,351,20656
66129,1420,-8297,481,20668
67129,1527,-8207,524,20669
68129,1458,-8163,508,20666
69128,1378,-8192,520,20656
70128,1588,-8192,511,20659
71129,1460,-8193,567,20654
72129,1483,-8257,394,20653
73129,1470,-8251,482,20652
74128,1530,-8209,470,20680
75129,1477,-8156,431,20652
76129,1376,-8255,439,20656
77129,1382,-8164,457,20666
78128,1532,-8192,448,20681
79129,1460,-8193,567,20653
80128,1419,-8178,416,20676
81128,1435,-8229,515,20663
82129,1352,-8192,519,20668
83128,1522,-8196,400,20656
84129,1390,-8212,468,20667
85128,1446,-8242,442,20668
86129,1457,-8079,510,20646
87129,1412,-8192,378,20652
88128,1419,-8151,467,20663
89129,1455,-8212,550,20656
90129,1432,-8148,515,20665
91128,1476,-8198,578,20651
92129,1472,-8156,595,20655
93129,1474,-8194,421,20656
94129,1344,-8203,416,20668
95129,1487,-8211,514,20657
96128,1398,-8192,471,20666
97128,1402,-8222,434,20649
98128,1517,-8193,367,20667
99128,1416,-8193,513,20667
100129,1450,-8255,512,20668
101129,1554,-8201,540,20659
102128,1418,-8193,480,20654
103128,1456,-8192,445,20667
104128,1472,-8193,410,20678
105128,1476,-8193,478,20651
106128,1405,-8203,490,20663
107128,1483,-8193,540,20662
108128,1438,-8281,505,20658
109128,1355,-8128,503,20656
110128,1437,-8178,426,20668
111127,1496,-8193,468,20681
112129,1424,-8158,621,20660
113128,1461,-8147,464,20674
114128,1485,-8234,552,20652
115128,1370,-8241,552,20683
116128,1483,-8192,503,20664
117129,1449,-8262,523,20655
118128,1397,-8212,441,20650
119128,1368,-8158,462,20673
120128,1475,-8213,525,20668
121128,1389,-8193,345,20661
122128,1544,-8195,506,20652
