ntc,in5,in10,in11,pe15
39662,994,20639,14463,0
39672,986,20622,14458,0
39679,984,20632,14443,0
39684,984,20624,14454,0
39681,963,20617,14455,0
39709,982,20637,14468,0
39708,979,20653,14456,0
39712,982,20645,14464,0
39722,993,20640,14468,0
39714,981,20652,14463,0
39729,982,20678,14470,0
39744,981,20667,14467,0
39730,985,20648,14472,0
39762,986,20644,14474,0
39763,978,20662,14477,0
39764,984,20670,14471,0
39780,988,20686,14490,0
39776,982,20688,14474,0
39784,985,20683,14481,0
39804,985,20701,14482,0
39810,977,20697,14484,0
39808,977,20675,14476,0
39808,985,20686,14488,0
39803,986,20676,14486,0
39811,977,20679,14482,0
39819,982,20679,14488,0
39815,976,20678,14489,0
39836,972,20686,14492,0
39856,990,20692,14498,0
39848,985,20677,14495,0
39936,981,20688,14504,0
39936,980,20682,14497,0
39936,985,20690,14496,0
39936,980,20693,14502,0
39936,972,20679,14497,0
39936,978,20674,14501,0
39936,969,20693,14509,0
39936,980,20679,14502,0
39936,976,20669,14505,0
39936,979,20679,14505,0
39936,981,20683,14517,0
39936,981,20661,14506,0
39936,979,20660,14506,0
39936,983,20678,14521,0
39936,975,20658,14523,0
39936,983,20652,14514,0
39936,987,20672,14520,0
39936,981,20668,14515,0
39936,977,20662,14517,0
39936,982,20664,14524,0
39946,980,20681,14524,0
39936,979,20627,14520,0
39939,983,20624,14520,0
39939,978,20628,14530,0
39936,980,20631,14524,0
39941,981,20631,14537,0
39968,981,20640,14540,0
39939,984,20630,14537,0
39961,984,20647,14551,0
39965,980,20632,14542,0
